%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.position0,field.position1,field.position2,field.position3,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.effort0,field.effort1,field.effort2,field.effort3
248305000000,2482,248300000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.838751564096,-37.5412380063,-17.3506342389,71.6713782883,9.9929453775,-0.166504396897,0.307752525202,0.477642417618,0.0,0.0,0.0,0.0
248405000000,2483,248400000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.101771998879,-37.5574059324,-17.3724088036,71.6696995241,-9.9932838,-0.120613524546,-0.71014684227,-0.455509974277,0.0,0.0,0.0,0.0
248505000000,2484,248505000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.837418069149,-37.5646546491,-17.456312261,71.6096753457,10.009245392,0.0117786022383,-0.810652618966,-0.530897398664,0.0,0.0,0.0,0.0
248605000000,2485,248600000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.101837362409,-37.563953855,-17.525470483,71.5661198324,-9.99780655812,-0.179259816353,-0.432417578982,-0.454124250553,0.0,0.0,0.0,0.0
248705000000,2486,248705000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.837941294022,-37.563477255,-17.5591781388,71.5330141302,9.97693938358,-0.00227084241379,-0.174504689744,-0.231542870424,0.0,0.0,0.0,0.0
248805000000,2487,248800000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.100983169706,-37.5549111427,-17.5445166632,71.517657337,-9.99998266207,0.0627236845098,0.410732562324,0.110677860601,0.0,0.0,0.0,0.0
248905000000,2488,248900000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.838047962119,-37.5511113255,-17.4993008779,71.5502494153,10.0022577159,0.122319004193,0.611904242545,0.324055739949,0.0,0.0,0.0,0.0
249005000000,2489,249000000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.103017242281,-37.5390762057,-17.4210402894,71.591902515,-10.0255071635,0.229144558818,0.801839177602,0.705660379301,0.0,0.0,0.0,0.0
249105000000,2490,249100000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.837498653554,-37.542391978,-17.353588725,71.6713829918,9.99392808976,-0.0981114799776,0.413544181822,0.592786900218,0.0,0.0,0.0,0.0
249205000000,2491,249200000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.102839725539,-37.5583311396,-17.3673121167,71.678632265,-9.99320912936,-0.119617229826,-0.647014743715,-0.361663279626,0.0,0.0,0.0,0.0
249305000000,2492,249300000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.836373092961,-37.5676128189,-17.4491796662,71.6250057036,9.97766246892,0.0938403710194,-0.878778108944,-0.49328383615,0.0,0.0,0.0,0.0
249400000000,2493,249400000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.103400826666,-37.5675440878,-17.5347931014,71.5747196777,-10.0132974715,-0.00874413033029,-0.542842463456,-0.463291314857,0.0,0.0,0.0,0.0
249505000000,2494,249500000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.836400892466,-37.5712898387,-17.5756336622,71.5267151452,10.0009064077,0.000178636607313,-0.250001325714,-0.391193749564,0.0,0.0,0.0,0.0
249605000000,2495,249600000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.102595173656,-37.5633460495,-17.5754209873,71.5003436768,-9.99995540166,0.0651824135786,0.312644688693,-0.0350450101845,0.0,0.0,0.0,0.0
249705000000,2496,249700000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.836564531414,-37.5661358474,-17.5448522086,71.5201277826,9.9974134718,0.20573538104,0.206897583918,0.157909020277,0.0,0.0,0.0,0.0
249805000000,2497,249800000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.103166470599,-37.5116350298,-17.4900533351,71.5341735509,-10.0000330281,0.516690100899,0.726423587817,0.369328655325,0.0,0.0,0.0,0.0
249905000000,2498,249900000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.83640964491,-37.463579111,-17.4191711996,71.592418523,9.99957859838,0.487098660231,0.88236952364,0.575877649337,0.0,0.0,0.0,0.0
250005000000,2499,250005000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.103333241164,-37.4085983617,-17.3261449043,71.6385955292,-9.99425615136,0.450776670948,0.985608248031,0.668287125645,0.0,0.0,0.0,0.0
250105000000,2500,250105000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.83699729853,-37.3640032496,-17.238217568,71.7223369046,9.98855503792,0.306722196448,0.877695748456,0.735807642259,0.0,0.0,0.0,0.0
250205000000,2501,250205000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,-0.1040476084,-37.3354838513,-17.2037207937,71.7474537216,-9.98760809918,0.304351510021,-0.333969202868,-0.107768044503,0.0,0.0,0.0,0.0
250305000000,2502,250300000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,0.837656952702,-37.3008795475,-17.2439776945,71.7279621393,10.1776035817,0.0209769093445,-0.460440047147,-0.215321238464,0.0,0.0,0.0,0.0
250405000000,2503,250400000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,1.83757720788,-37.2473181918,-17.2916614993,71.6928237998,9.96733145996,0.695618325289,0.00470387809568,-1.03459712177,0.0,0.0,0.0,0.0
250505000000,2504,250500000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,2.83736695755,-37.1259561465,-17.3064929779,71.5883414356,9.99129495378,1.27939561828,-0.495113343285,-0.666417796883,0.0,0.0,0.0,0.0
250605000000,2505,250600000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,3.83677278159,-36.9313596538,-17.4149947838,71.502433349,9.99859909861,1.86354759611,-1.78472418642,-1.05886807487,0.0,0.0,0.0,0.0
250705000000,2506,250700000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,4.83635122825,-36.6782529414,-17.6468570321,71.4504987088,10.0027605752,2.16102365692,-2.48201651243,0.024170278237,0.0,0.0,0.0,0.0
250805000000,2507,250800000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,5.83604952109,-36.4063111375,-17.8316494722,71.4617675188,9.96033784215,2.74667174366,-1.26114981728,0.18025207228,0.0,0.0,0.0,0.0
250905000000,2508,250900000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,6.82925624671,-36.0745605848,-17.8930712793,71.4858376599,9.95402621879,3.32911593362,-0.0162326119384,0.299699192471,0.0,0.0,0.0,0.0
251005000000,2509,251000000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,7.82669555352,-35.6804210558,-17.8267625884,71.5022109274,9.96315920894,4.05099146219,1.34526340798,-0.516485719628,0.0,0.0,0.0,0.0
251105000000,2510,251100000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,8.82437212667,-35.2112864035,-17.67382882,71.3680141892,9.87096404919,4.61161203594,0.800514729194,-1.65458878123,0.0,0.0,0.0,0.0
251205000000,2511,251200000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,9.81840935896,-34.6827899729,-17.6997522468,71.1815385209,9.95716368862,5.2991124659,-1.1889624345,-2.08415923724,0.0,0.0,0.0,0.0
251305000000,2512,251300000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,10.8131653871,-34.0928338334,-17.9048716259,71.0013110596,9.96444074725,5.93152195589,-2.70137952986,-1.07991691358,0.0,0.0,0.0,0.0
251405000000,2513,251405000000,,front_steering_joint,front_wheel_joint,left_wheel_joint,right_wheel_joint,9.87441238551,-33.4314789248,-18.2457874678,70.9318149031,-9.98609269424,6.65237469706,-4.30774692466,-0.683523611438,0.0,0.0,0.0,0.0
