# TrueX (m), TrueY (m), TrueHeading (rad)
-0.3804,3.3010,-3.1241
-0.4474,3.2987,-3.0861
-0.5149,3.2935,-3.0466
-0.5816,3.2859,-3.0085
-0.6485,3.2755,-2.9689
-0.7154,3.2626,-2.9303
-0.7809,3.2471,-2.8911
-0.8467,3.2290,-2.8525
-0.9110,3.2084,-2.8132
-0.9741,3.1857,-2.7753
-1.0381,3.1595,-2.7352
-1.1000,3.1315,-2.6970
-1.1609,3.1010,-2.6572
-1.2203,3.0683,-2.6190
-1.2788,3.0330,-2.5793
-1.3384,2.9938,-2.5408
-1.3940,2.9540,-2.5014
-1.4475,2.9127,-2.4634
-1.4984,2.8698,-2.4186
-1.5489,2.8233,-2.3796
-1.5976,2.7751,-2.3416
-1.6427,2.7266,-2.2976
-1.6835,2.6786,-2.2491
-1.7155,2.6367,-2.1941
-1.7402,2.6000,-2.1314
-1.7575,2.5704,-2.0631
-1.7707,2.5434,-1.9884
-1.7820,2.5151,-1.9128
-1.7912,2.4858,-1.8373
-1.7981,2.4564,-1.7624
-1.8035,2.4214,-1.6910
-1.8070,2.3802,-1.6210
-1.8077,2.3345,-1.5554
-1.8054,2.2815,-1.4998
-1.7996,2.2210,-1.4528
-1.7903,2.1546,-1.4154
-1.7782,2.0837,-1.3885
-1.7637,2.0096,-1.3666
-1.7475,1.9355,-1.3446
-1.7296,1.8617,-1.3227
-1.7103,1.7888,-1.3009
-1.6893,1.7160,-1.2790
-1.6669,1.6443,-1.2573
-1.6432,1.5737,-1.2358
-1.6175,1.5023,-1.2140
-1.5904,1.4320,-1.1923
-1.5619,1.3625,-1.1707
-1.5318,1.2935,-1.1491
-1.5016,1.2283,-1.1229
-1.4708,1.1667,-1.0863
-1.4417,1.1143,-1.0406
-1.4144,1.0704,-0.9873
-1.3892,1.0345,-0.9259
-1.3622,1.0011,-0.8621
-1.3271,0.9625,-0.8055
-1.2845,0.9203,-0.7575
-1.2345,0.8750,-0.7194
-1.1802,0.8288,-0.6926
-1.1226,0.7818,-0.6768
-1.0629,0.7341,-0.6724
-1.0011,0.6848,-0.6743
-0.9397,0.6356,-0.6757
-0.8785,0.5865,-0.6771
-0.8174,0.5373,-0.6786
-0.7563,0.4880,-0.6800
-0.6953,0.4386,-0.6814
-0.6337,0.3886,-0.6829
-0.5735,0.3395,-0.6843
-0.5126,0.2898,-0.6858
-0.4534,0.2414,-0.6819
-0.3955,0.1951,-0.6668
-0.3391,0.1517,-0.6407
-0.2859,0.1135,-0.6045
-0.2365,0.0809,-0.5591
-0.1922,0.0547,-0.5057
-0.1542,0.0351,-0.4454
-0.1253,0.0223,-0.3831
-0.1066,0.0153,-0.3230
-0.0889,0.0100,-0.2647
-0.0647,0.0042,-0.2143
-0.0360,-0.0014,-0.1723
-0.0044,-0.0063,-0.1384
0.0279,-0.0104,-0.1130
0.0592,-0.0136,-0.0951
0.0883,-0.0162,-0.0840
0.1140,-0.0183,-0.0785
0.1352,-0.0200,-0.0771
0.1532,-0.0214,-0.0774
0.1669,-0.0224,-0.0776
0.1755,-0.0231,-0.0777
0.1790,-0.0234,-0.0778
0.1792,-0.0234,-0.0778
0.1793,-0.0234,-0.0777
0.1793,-0.0234,-0.0777
0.1793,-0.0234,-0.0776
0.1793,-0.0234,-0.0776
0.1794,-0.0234,-0.0775
0.1794,-0.0235,-0.0775
0.1795,-0.0235,-0.0774
0.1796,-0.0235,-0.0774
0.1797,-0.0235,-0.0773
0.1798,-0.0235,-0.0773
0.1799,-0.0235,-0.0773
0.1800,-0.0235,-0.0772
0.1802,-0.0236,-0.0772
0.1803,-0.0236,-0.0771
0.1805,-0.0236,-0.0771
0.1807,-0.0236,-0.0770
0.1809,-0.0236,-0.0770
0.1811,-0.0237,-0.0769
0.1813,-0.0237,-0.0769
0.1815,-0.0237,-0.0768
0.1817,-0.0237,-0.0768
0.1820,-0.0238,-0.0768
0.1823,-0.0238,-0.0767
0.1825,-0.0238,-0.0767
0.1828,-0.0239,-0.0766
0.1831,-0.0239,-0.0766
0.1834,-0.0239,-0.0765
0.1838,-0.0240,-0.0765
0.1841,-0.0240,-0.0765
0.1844,-0.0240,-0.0764
0.1848,-0.0241,-0.0764
0.1852,-0.0241,-0.0763
0.1855,-0.0241,-0.0763
0.1860,-0.0242,-0.0762
0.1864,-0.0242,-0.0762
0.1868,-0.0242,-0.0762
0.1872,-0.0243,-0.0761
