# predX, predY, predHeading, trueX, trueY, trueHeading
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000073e-02,2.500000000000000052e-03,1.020999999999999963e-01
-1.468815977981555720e-01,6.150246480772526836e-02,-1.340509028436081759e-02,4.630000000000000088e-02,7.000000000000000146e-03,1.403000000000000080e-01
-3.363637002271276377e-01,6.895041239090231311e-02,5.034964762008714567e-01,9.310000000000000220e-02,1.439999999999999961e-02,1.736999999999999933e-01
-2.284227054192969897e-01,5.094149435848600339e-03,5.972616598854021408e-01,1.416000000000000036e-01,2.369999999999999885e-02,2.038999999999999979e-01
-1.893592265132441332e-01,5.073812361348565420e-02,4.093798300941189350e-01,1.869000000000000106e-01,3.359999999999999792e-02,2.303000000000000047e-01
-1.982300279019853784e-02,2.605894460474782875e-02,4.724612397371932282e-01,2.263999999999999901e-01,4.340000000000000108e-02,2.551999999999999824e-01
7.153990637147635001e-02,-2.901714435156501140e-02,4.770038930106854091e-01,2.645000000000000129e-01,5.380000000000000060e-02,2.775000000000000244e-01
1.519216940434261753e-01,-9.049019559774396093e-02,4.187717302026968680e-01,2.959999999999999853e-01,6.320000000000000617e-02,2.974999999999999867e-01
1.928377435892517089e-01,1.321484811838735500e-02,3.493130527214914904e-01,3.240000000000000102e-01,7.199999999999999456e-02,3.150000000000000022e-01
2.286921191766842498e-01,1.289667329831682141e-01,4.069137808288467162e-01,3.521000000000000241e-01,8.140000000000000013e-02,3.331000000000000072e-01
3.284744658408286222e-01,9.684821928035318439e-02,3.025233454839650893e-01,3.795999999999999930e-01,9.120000000000000329e-02,3.506000000000000227e-01
4.998055615712534983e-01,1.881279643524546297e-01,6.494788246959939948e-02,4.072000000000000064e-01,1.015999999999999959e-01,3.687000000000000277e-01
4.694845267036156233e-01,2.050615356195085170e-01,2.226077139250241532e-01,4.343000000000000194e-01,1.122999999999999970e-01,3.860999999999999988e-01
4.177321056538423893e-01,2.654030464003999112e-01,2.840404601772013038e-01,4.616000000000000103e-01,1.237000000000000044e-01,4.041000000000000147e-01
3.379984149298564944e-01,2.537947634731662072e-01,2.299475005850813991e-01,4.884999999999999898e-01,1.355000000000000093e-01,4.217000000000000193e-01
4.801078251596824775e-01,3.797378383129115798e-01,2.574279124937488561e-01,5.173999999999999710e-01,1.489000000000000046e-01,4.419000000000000150e-01
5.170514748017682738e-01,4.133207690593891370e-01,1.257553824593248271e-01,5.554999999999999938e-01,1.675000000000000100e-01,4.713999999999999857e-01
6.922196614854014829e-01,3.519796590604710174e-01,1.760246639139887992e-01,6.040999999999999703e-01,1.938000000000000000e-01,5.231000000000000094e-01
6.158359496804878264e-01,4.832711595877030586e-01,4.646856530031422960e-01,6.636999999999999567e-01,2.310000000000000109e-01,5.911999999999999478e-01
7.076111036348977645e-01,5.442657639904527889e-01,1.156874057665413513e+00,7.316000000000000281e-01,2.802999999999999936e-01,6.620000000000000329e-01
7.602078013835459336e-01,4.895727921933086813e-01,1.037311884241191473e+00,8.017999999999999572e-01,3.382000000000000006e-01,7.185000000000000275e-01
9.984202560976944696e-01,4.197172494299150625e-01,9.269956131768033458e-01,8.667000000000000259e-01,3.983999999999999764e-01,7.731000000000000094e-01
1.176148804855427832e+00,4.942514349021284170e-01,8.508052366649302423e-01,9.263000000000000123e-01,4.592999999999999861e-01,8.235999999999999988e-01
9.904472188578312686e-01,2.427453316160441965e-01,1.009265781784583815e+00,9.795000000000000373e-01,5.198000000000000398e-01,8.728000000000000203e-01
1.078953297319592997e+00,5.436203352708462999e-02,6.812258452983137591e-01,1.027300000000000102e+00,5.794000000000000261e-01,9.181000000000000272e-01
